M,source_type,source_param,seed,probabilities,huffman_lengths,Lbar,support_overlap_shift,grouping_strategy,groups,payload_generation_mode,P_group_lower,P_fix_upper,P_group_sdp,P_fix_sdp,C_Huff,C_fix,M_cert,dual_feasibility_residual,primal_feasibility_residual,positive_certificate,decoding_method,result_type
4,dirichlet,0.5,7481,0.068772721;0.010249455;0.74822217;0.17275565,3;3;1;2,1.330800007217471,0,random,"1,2|0,3",optimized,0.9721549143006231,0.9527519595079089,0.972206389333631,0.9526994844749009,2.330800007217471,2,-0.059285319341099096,1.0295006601583077e-05,1.8939033488269058e-08,False,exact_sdp,exact
4,dirichlet,0.5,7481,0.068772721;0.010249455;0.74822217;0.17275565,3;3;1;2,1.330800007217471,0,overlap_aware,"2|0,1,3",optimized,0.972206084717851,0.9527009394492284,0.9722065396921784,0.9526994844749009,2.330800007217471,2,-0.05923785529722758,9.099486549160429e-08,3.0285032398995916e-10,False,exact_sdp,exact
4,dirichlet,0.5,7481,0.068772721;0.010249455;0.74822217;0.17275565,3;3;1;2,1.330800007217471,1,random,"1,2|0,3",optimized,0.9999727331919769,0.9821368084611587,0.9999999054367628,0.9821086362163728,2.330800007217471,2,-0.06204286360268446,5.434448957175597e-06,1.1787207071280085e-08,False,exact_sdp,exact
4,dirichlet,0.5,7481,0.068772721;0.010249455;0.74822217;0.17275565,3;3;1;2,1.330800007217471,1,overlap_aware,"2|0,1,3",optimized,0.9999991081157255,0.9821105281006474,1.0,0.9821086362163728,2.330800007217471,2,-0.06201840759796212,1.7837685491672328e-07,5.542664514301437e-10,False,exact_sdp,exact
4,near_uniform,0.04,7404,0.24603943;0.25075953;0.24497086;0.25823018,2;2;2;2,2.0,0,random,"2,3|0,1",optimized,0.9999916669337292,1.0,1.0,0.9999978058063241,3.0,2,-0.16666944435542358,1.6666132541603021e-06,6.92970739402724e-09,False,exact_sdp,exact
4,near_uniform,0.04,7404,0.24603943;0.25075953;0.24497086;0.25823018,2;2;2;2,2.0,0,overlap_aware,"2,3|0,1",optimized,0.9999916669337292,1.0,1.0,0.9999978058063241,3.0,2,-0.16666944435542358,1.6666132541603021e-06,6.92970739402724e-09,False,exact_sdp,exact
4,near_uniform,0.04,7404,0.24603943;0.25075953;0.24497086;0.25823018,2;2;2;2,2.0,1,random,"2,3|0,1",optimized,0.9999916669337466,0.5089992022310309,1.0,0.5089898691647775,3.0,2,0.07883095452906674,1.6666132506617481e-06,4.037502636729726e-09,True,exact_sdp,exact
4,near_uniform,0.04,7404,0.24603943;0.25075953;0.24497086;0.25823018,2;2;2;2,2.0,1,overlap_aware,"2,3|0,1",optimized,0.9999916669337466,0.5089992022310309,1.0,0.5089898691647775,3.0,2,0.07883095452906674,1.6666132506617481e-06,4.037502636729726e-09,True,exact_sdp,exact
4,near_uniform,0.04,7435,0.26859452;0.24001696;0.24829117;0.24309735,2;2;2;2,2.0,0,random,"1,2|0,3",optimized,0.9999867684909262,1.0,1.0,0.9999974286166967,3.0,2,-0.16667107716969126,2.6463018147601646e-06,1.2024561472450671e-08,False,exact_sdp,exact
4,near_uniform,0.04,7435,0.26859452;0.24001696;0.24829117;0.24309735,2;2;2;2,2.0,0,overlap_aware,"0,1|2,3",optimized,0.9999854190802616,1.0,1.0,0.9999974286166967,3.0,2,-0.1666715269732461,2.916183947671524e-06,1.2024561472450671e-08,False,exact_sdp,exact
