q_base,deltaC_over_Cbase,threshold_qL,advantage_possible
0.004,1.25,-1.241,False
0.004,1.26,-1.25096,False
0.004,1.27,-1.26092,False
0.004,1.28,-1.27088,False
0.004,1.29,-1.28084,False
0.004,1.3,-1.2908,False
0.004,1.31,-1.3007600000000001,False
0.004,1.32,-1.31072,False
0.004,1.33,-1.32068,False
0.004,1.34,-1.33064,False
0.004,1.35,-1.3406,False
0.004,1.36,-1.35056,False
0.004,1.37,-1.3605200000000002,False
0.004,1.3800000000000001,-1.3704800000000001,False
0.004,1.3900000000000001,-1.3804400000000001,False
0.004,1.4000000000000001,-1.3904,False
0.004,1.41,-1.4003599999999998,False
0.004,1.42,-1.41032,False
0.004,1.43,-1.42028,False
0.004,1.44,-1.43024,False
0.004,1.45,-1.4402,False
0.004,1.46,-1.45016,False
0.004,1.47,-1.4601199999999999,False
0.004,1.48,-1.47008,False
0.004,1.49,-1.48004,False
0.004,1.5,-1.49,False
0.004,1.51,-1.49996,False
0.004,1.52,-1.50992,False
0.004,1.53,-1.5198800000000001,False
0.004,1.54,-1.52984,False
0.004,1.55,-1.5398,False
0.004,1.56,-1.54976,False
0.004,1.57,-1.55972,False
0.004,1.58,-1.56968,False
0.004,1.59,-1.5796400000000002,False
0.004,1.6,-1.5896000000000001,False
0.004,1.61,-1.59956,False
0.004,1.62,-1.60952,False
0.004,1.6300000000000001,-1.61948,False
0.004,1.6400000000000001,-1.6294400000000002,False
0.004,1.6500000000000001,-1.6394000000000002,False
0.004,1.6600000000000001,-1.6493600000000002,False
0.004,1.67,-1.65932,False
0.004,1.68,-1.6692799999999999,False
0.004,1.69,-1.6792399999999998,False
0.004,1.7,-1.6892,False
0.004,1.71,-1.69916,False
0.004,1.72,-1.70912,False
0.004,1.73,-1.71908,False
0.004,1.74,-1.72904,False
0.004,1.75,-1.7389999999999999,False
0.004,1.76,-1.74896,False
0.004,1.77,-1.75892,False
0.004,1.78,-1.76888,False
0.004,1.79,-1.77884,False
0.004,1.8,-1.7888,False
0.004,1.81,-1.7987600000000001,False
0.004,1.82,-1.80872,False
0.004,1.83,-1.81868,False
0.004,1.84,-1.82864,False
0.004,1.85,-1.8386,False
0.004,1.86,-1.84856,False
0.004,1.87,-1.8585200000000002,False
0.004,1.8800000000000001,-1.8684800000000001,False
0.004,1.8900000000000001,-1.87844,False
0.004,1.9000000000000001,-1.8884,False
0.004,1.9100000000000001,-1.89836,False
0.004,1.92,-1.90832,False
0.004,1.93,-1.91828,False
0.004,1.94,-1.92824,False
0.004,1.95,-1.9382,False
0.004,1.96,-1.94816,False
0.004,1.97,-1.9581199999999999,False
0.004,1.98,-1.96808,False
0.004,1.99,-1.97804,False
0.004,2.0,-1.988,False
0.006,0.0,0.006,True
0.006,0.01,-0.003940000000000001,False
0.006,0.02,-0.013880000000000002,False
0.006,0.03,-0.02382,False
0.006,0.04,-0.033760000000000005,False
0.006,0.05,-0.0437,False
0.006,0.06,-0.05364,False
0.006,0.07,-0.06358,False
0.006,0.08,-0.07352,False
0.006,0.09,-0.08345999999999999,False
0.006,0.1,-0.0934,False
0.006,0.11,-0.10334,False
0.006,0.12,-0.11327999999999999,False
0.006,0.13,-0.12322,False
0.006,0.14,-0.13316,False
0.006,0.15,-0.14309999999999998,False
0.006,0.16,-0.15304,False
0.006,0.17,-0.16298,False
0.006,0.18,-0.17292,False
0.006,0.19,-0.18286,False
0.006,0.2,-0.1928,False
0.006,0.21,-0.20273999999999998,False
0.006,0.22,-0.21268,False
0.006,0.23,-0.22262,False
0.006,0.24,-0.23256,False
0.006,0.25,-0.2425,False
0.006,0.26,-0.25244,False
0.006,0.27,-0.26238,False
0.006,0.28,-0.27232,False
0.006,0.29,-0.28225999999999996,False
0.006,0.3,-0.29219999999999996,False
0.006,0.31,-0.30213999999999996,False
0.006,0.32,-0.31208,False
0.006,0.33,-0.32202000000000003,False
0.006,0.34,-0.33196000000000003,False
0.006,0.35000000000000003,-0.34190000000000004,False
0.006,0.36,-0.35184,False
0.006,0.37,-0.36178,False
0.006,0.38,-0.37172,False
0.006,0.39,-0.38166,False
0.006,0.4,-0.3916,False
0.006,0.41000000000000003,-0.40154,False
0.006,0.42,-0.41147999999999996,False
