p,scheme,code_name,n,k,d,redundancy_r,q_L,P_corr,P_global_opt,P_group,P_fallback,P_success,C_total,eta,baseline_type
0.182,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.5076717099220072,0.49232829007799284,0.6947920446914665,0.9942847833185422,0.5,0.7433503821827891,20.0,0.03716751910913946,group_QEC
0.182,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.3230128311671565,0.6769871688328435,0.6947920446914665,0.9942847833185422,0.5,0.8346244560559754,23.799999999999997,0.03506825445613342,group_QEC
0.184,global_noQEC,global_noQEC,1,1,1,1.0,0.184,0.8160000000000001,0.6947920446914665,0.9942847833185422,0.5,0.6405503084682367,1.9,0.337131741299072,global_noQEC
0.184,group_noQEC,group_noQEC,1,1,1,1.0,0.184,0.8160000000000001,0.6947920446914665,0.9942847833185422,0.5,0.9033363831879304,2.9,0.31149530454756225,group_noQEC
0.184,rep3_toy,rep3_toy,3,1,1,3.0,0.089108992,0.910891008,0.6947920446914665,0.9942847833185422,0.5,0.9502395645160886,8.6,0.11049297261814985,group_QEC
0.184,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.23031972669030376,0.7696802733096962,0.6947920446914665,0.9942847833185422,0.5,0.8804412471174397,12.4,0.07100332638043869,group_QEC
0.184,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.3788640185204193,0.6211359814795807,0.6947920446914665,0.9942847833185422,0.5,0.8070180640169846,16.2,0.04981592987759165,group_QEC
0.184,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.5140744482662474,0.48592555173375257,0.6947920446914665,0.9942847833185422,0.5,0.7401856060476609,20.0,0.03700928030238305,group_QEC
0.184,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.3295940863359552,0.6704059136640448,0.6947920446914665,0.9942847833185422,0.5,0.8313714417709017,23.799999999999997,0.03493157318365134,group_QEC
0.186,global_noQEC,global_noQEC,1,1,1,1.0,0.186,0.8140000000000001,0.6947920446914665,0.9942847833185422,0.5,0.6399607243788538,1.9,0.33682143388360725,global_noQEC
0.186,group_noQEC,group_noQEC,1,1,1,1.0,0.186,0.8140000000000001,0.6947920446914665,0.9942847833185422,0.5,0.9023478136212933,2.9,0.31115441849010117,group_noQEC
0.186,rep3_toy,rep3_toy,3,1,1,3.0,0.09091828800000001,0.909081712,0.6947920446914665,0.9942847833185422,0.5,0.9493452570347694,8.6,0.11038898337613598,group_QEC
0.186,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.23432564712729587,0.7656743528727041,0.6947920446914665,0.9942847833185422,0.5,0.8784611816022496,12.4,0.07084364367760078,group_QEC
0.186,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.3844517616972788,0.6155482383027212,0.6947920446914665,0.9942847833185422,0.5,0.804256127591571,16.2,0.04964543997478833,group_QEC
0.186,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.5204370587618159,0.4795629412381841,0.6947920446914665,0.9942847833185422,0.5,0.7370406644975186,20.0,0.03685203322487593,group_QEC
0.186,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.3361893853689075,0.6638106146310925,0.6947920446914665,0.9942847833185422,0.5,0.8281114858174778,23.799999999999997,0.034794600244431845,group_QEC
0.188,global_noQEC,global_noQEC,1,1,1,1.0,0.188,0.812,0.6947920446914665,0.9942847833185422,0.5,0.6393711402894708,1.9,0.3365111264681426,global_noQEC
0.188,group_noQEC,group_noQEC,1,1,1,1.0,0.188,0.812,0.6947920446914665,0.9942847833185422,0.5,0.9013592440546563,2.9,0.3108135324326401,group_noQEC
0.188,rep3_toy,rep3_toy,3,1,1,3.0,0.092742656,0.907257344,0.6947920446914665,0.9942847833185422,0.5,0.9484434996931961,8.6,0.11028412787130187,group_QEC
0.188,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.23834513789132772,0.7616548621086723,0.6947920446914665,0.9942847833185422,0.5,0.8764744084808992,12.4,0.0706834200387822,group_QEC
0.188,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.3900309503882191,0.6099690496117809,0.6947920446914665,0.9942847833185422,0.5,0.8014984195183762,16.2,0.04947521108138125,group_QEC
0.188,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.5267587874293872,0.4732412125706128,0.6947920446914665,0.9942847833185422,0.5,0.7339159302128695,20.0,0.036695796510643475,group_QEC
0.188,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.34279689507043476,0.6572031049295652,0.6947920446914665,0.9942847833185422,0.5,0.8248454943163833,23.799999999999997,0.03465737371077241,group_QEC
0.19,global_noQEC,global_noQEC,1,1,1,1.0,0.19,0.81,0.6947920446914665,0.9942847833185422,0.5,0.6387815562000878,1.9,0.3362008190526778,global_noQEC
0.19,group_noQEC,group_noQEC,1,1,1,1.0,0.19,0.81,0.6947920446914665,0.9942847833185422,0.5,0.9003706744880192,2.9,0.3104726463751791,group_noQEC
0.19,rep3_toy,rep3_toy,3,1,1,3.0,0.09458200000000001,0.905418,0.6947920446914665,0.9942847833185422,0.5,0.9475343399427079,8.6,0.1101784116212451,group_QEC
0.19,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.24237771039999978,0.7576222896000002,0.6947920446914665,0.9942847833185422,0.5,0.874481169252234,12.4,0.07052267493969629,group_QEC
0.19,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.39560079193065967,0.6043992080693403,0.6947920446914665,0.9942847833185422,0.5,0.7987453315984524,16.2,0.04930526738262052,group_QEC
0.19,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.5330389124093359,0.4669610875906641,0.6947920446914665,0.9942847833185422,0.5,0.7308117599979422,20.0,0.03654058799989711,group_QEC
0.19,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.34941480330515695,0.650585196694843,0.6947920446914665,0.9942847833185422,0.5,0.8215743629785617,23.799999999999997,0.034519931217586626,group_QEC
0.192,global_noQEC,global_noQEC,1,1,1,1.0,0.192,0.808,0.6947920446914665,0.9942847833185422,0.5,0.6381919721107049,1.9,0.3358905116372131,global_noQEC
