M,source_type,grouping_strategy,baseline_type,result_type,eta_mean,eta_std,eta_min,eta_max,M_res_mean,M_res_std,M_res_min,M_res_max,r_res_pos,P_group_mean,P_base_mean,r_cert_pos
16,strong_skew,overlap_aware,random_support,approximate,0.09193762956549462,0.004330137594653519,0.08743322503645941,0.09606941861112583,-1.654832094530813,0.07804593456646856,-1.7348974674597883,-1.5789759528217295,0.0,0.9976432804346153,0.9776738261943257,
16,strong_skew,probability_aware,pgm_fixed_global,approximate,0.09215046785155,0.004241755167464056,0.08770584564655293,0.09615504913329836,-1.705219192147372,0.1202999915411489,-1.8336913436523194,-1.5952308740392729,0.0,1.0,0.9966528620999876,
16,strong_skew,random,pgm_fixed_global,approximate,0.09210889002780583,0.00427455305263129,0.08761464723196062,0.09612325223239701,-1.7056814450340216,0.12070194556010473,-1.8347288776156643,-1.5955613498293075,0.0,0.9995340866495357,0.9966528620999876,
16,zipf,overlap_aware,equal_support,approximate,0.07669710232536081,0.00015569782249723964,0.07650656145634518,0.07686176442256663,-2.2529376697703096,0.0020240716924639105,-2.2554147010675125,-2.250797062506634,0.0,1.0,1.0,
16,zipf,overlap_aware,pgm_fixed_global,approximate,0.08243148526900473,0.006314596495884187,0.07650656145634518,0.09062357092902155,-2.0156579043999185,0.2226589335196341,-2.2554147010675125,-1.7465220501552428,0.0,0.9990581107169358,0.9927633152099942,
16,zipf,overlap_aware,random_support,approximate,0.08234012166711213,0.006482761867721702,0.07592924686898714,0.09066142955774494,-1.8882615911403497,0.16656619812772328,-2.092466740649349,-1.7508031263364945,0.0,0.9978267211342094,0.9533438435165692,
16,zipf,probability_aware,pgm_fixed_global,approximate,0.08243148526900473,0.006314596495884187,0.07650656145634518,0.09062357092902155,-2.0156579043999185,0.2226589335196341,-2.2554147010675125,-1.7465220501552428,0.0,0.9990581107169358,0.9927633152099942,
16,zipf,random,pgm_fixed_global,approximate,0.08236206308249883,0.006306804962408674,0.07650119087988651,0.09065343292927024,-2.0164906416302038,0.22240163415740194,-2.2554845185614756,-1.746193069462743,0.0,0.9987478053108666,0.9927633152099942,
32,dirichlet,overlap_aware,equal_support,approximate,0.06632489895055402,2.487551424652397e-05,0.06629646173481402,0.06634784240080624,-2.0051265157416895,0.0003731327136981459,-2.0055530739777896,-2.004782363987905,0.0,0.9999999999999999,0.9999999999999999,
32,dirichlet,overlap_aware,pgm_fixed_global,approximate,0.06719275890537615,0.0005641495352562565,0.06662220661163985,0.06775545906273649,-1.9200719051400132,0.013690364315299575,-1.9357933980000772,-1.9024177220260627,0.0,0.9998880987643508,0.9844190540584807,
32,dirichlet,overlap_aware,random_support,approximate,0.06704720005517839,0.0006439432958374413,0.06636516241383503,0.06772393174076138,-1.8882686032611185,0.042705453938598405,-1.925619747067017,-1.8308104449749285,0.0,0.997708901919384,0.9730142018089908,
32,dirichlet,probability_aware,pgm_fixed_global,approximate,0.06715651420563931,0.0006072506619997322,0.06653253703772001,0.06775545906273649,-1.9206123752406505,0.014019999085859465,-1.9366168112956734,-1.9024177220260627,0.0,0.9993433488175442,0.9844190540584807,
