dataset,M,source_type,source_param,seed,baseline_type,grouping_strategy,R_sup,A_Huff,A_sep,r_sep,epsilon_in,P_base,P_group,P_full,M_res,Delta_P_group,positive_margin
default_benchmark,8,zipf,1.0,1090,pgm_fixed_global,probability_aware,0.1111111111111111,0.0020234343466893,0.0013183427797571,,0.0625,0.9901999176245702,0.9966449203802488,0.9941143789570028,-2.8615786569795807,0.006445002755678608,False
default_benchmark,8,zipf,1.0,1090,pgm_fixed_global,overlap_aware,0.1111111111111111,0.0020234343466893,0.0013183427797571,,0.0625,0.9901999176245702,0.9966449203802488,0.9941143789570028,-2.8615786569795807,0.006445002755678608,False
default_benchmark,8,zipf,1.0,1090,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.9974430992815532,-3.0025569007184467,0.0,False
default_benchmark,8,zipf,1.0,1090,random_support,overlap_aware,0.1944444444444444,0.0069739279227442,0.0061278180424255,,0.2499999999999999,0.96426148006903,0.9923200718982668,0.989823508791709,-2.7648690612128117,0.028058591829236756,False
default_benchmark,8,zipf,2.0,1100,pgm_fixed_global,random,0.6159420289855072,0.000632718157167,0.0005327505233448,,0.0625,0.9945061011408936,0.9982410272349376,0.9971493615842072,-2.5725598181839184,0.003734926094044022,False
default_benchmark,8,zipf,2.0,1100,pgm_fixed_global,probability_aware,0.6159420289855072,0.000632718157167,0.0003270175685513,,0.1249999999999999,0.9945061011408936,0.9953425845166912,0.9945237294059768,-2.5751854503621487,0.0008364833757976697,False
default_benchmark,8,zipf,2.0,1100,pgm_fixed_global,overlap_aware,0.6159420289855072,0.000632718157167,0.0003270175685513,,0.1249999999999999,0.9945061011408936,0.9953425845166912,0.9945237294059768,-2.5751854503621487,0.0008364833757976697,False
default_benchmark,8,zipf,2.0,1100,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.9991445537488328,-3.000855446251167,0.0,False
default_benchmark,8,zipf,2.0,1100,random_support,overlap_aware,0.2826086956521739,0.0015810495263243,0.0013559249969486,,0.0580404327225174,0.9945367598225516,0.997791741200295,0.9969536442082148,-2.572865582725261,0.0032549813777433823,False
default_benchmark,8,dirichlet,0.5,2805,pgm_fixed_global,random,0.2927927927927928,0.0003918651211484,0.0002210919968708,,0.0593089835768582,0.9972646127376382,0.9990532112894022,0.9967803576780292,-2.7359693704472177,0.0017885985517639424,False
default_benchmark,8,dirichlet,0.5,2805,pgm_fixed_global,probability_aware,0.2927927927927928,0.0003918651211484,0.0003171162539375,,0.1249999999999999,0.9972646127376382,0.9990164645466266,0.9976267988964216,-2.7351229292288255,0.0017518518089884028,False
default_benchmark,8,dirichlet,0.5,2805,pgm_fixed_global,overlap_aware,0.2927927927927928,0.0003918651211484,0.0003171162539375,,0.1249999999999999,0.9972646127376382,0.9990164645466266,0.9976267988964216,-2.7351229292288255,0.0017518518089884028,False
default_benchmark,8,dirichlet,0.5,2805,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.9986026071706235,-3.0013973928293765,0.0,False
default_benchmark,8,dirichlet,0.5,2805,random_support,overlap_aware,0.2117117117117117,0.002749455887034,0.0024872156490298,,0.0156249999999999,0.9937756030241696,0.999195787297338,0.9978047127919468,-2.721885692969875,0.005420184273168482,False
default_benchmark,8,dirichlet,2.0,2820,pgm_fixed_global,random,0.0930232558139534,0.0065874169682465,0.0042625084092582,,0.0625,0.9742597118303348,0.9915402118233624,0.9882219360064832,-2.855850902976208,0.01728049999302761,False
default_benchmark,8,dirichlet,2.0,2820,pgm_fixed_global,probability_aware,0.0930232558139534,0.0065874169682465,0.0049646858548789,,0.0625,0.9742597118303348,0.9929313900481936,0.9897908366727596,-2.854282002309932,0.018671678217858867,False
default_benchmark,8,dirichlet,2.0,2820,pgm_fixed_global,overlap_aware,0.0930232558139534,0.0065874169682465,0.006105382251743,,0.0625,0.9742597118303348,0.99721270272055,0.9940385130689716,-2.85003432591372,0.022952990890215186,False
default_benchmark,8,dirichlet,2.0,2820,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.9968039118541596,-3.0031960881458404,0.0,False
default_benchmark,8,dirichlet,2.0,2820,random_support,overlap_aware,0.1162790697674418,0.0069807268226436,0.0058892425054577,,0.0625,0.969915351685738,0.9955194587013424,0.99235857207801,-2.834573009156036,0.02560410701560445,False
default_benchmark,8,near_uniform,0.04,3084,pgm_fixed_global,random,0.0,0.0,0.0,,0.0,1.0,0.9999999999999996,0.9951517808010764,-3.004848219198923,-4.440892098500626e-16,False
default_benchmark,8,near_uniform,0.04,3084,pgm_fixed_global,probability_aware,0.0,0.0,0.0,,0.0,1.0,0.9999999999999998,0.9951974829248992,-3.0048025170751003,-2.220446049250313e-16,False
default_benchmark,8,near_uniform,0.04,3084,pgm_fixed_global,overlap_aware,0.0,0.0,0.0,,0.0,1.0,0.9999999999999998,0.9951974829248992,-3.0048025170751003,-2.220446049250313e-16,False
default_benchmark,8,near_uniform,0.04,3084,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,0.9999999999999998,0.9951974829248992,-3.0048025170751007,-2.220446049250313e-16,False
default_benchmark,8,near_uniform,0.04,3084,random_support,overlap_aware,0.125,0.026614710404011,0.0229667682061823,,0.2499999999999997,0.9127436059042422,0.9838218543411332,0.9791464414082744,-2.6718279822086943,0.07107824843689103,False
